TIMESTAMP,AirTC_Avg,RH_Avg,Rain_mm_Tot,BP_kPa_Avg,WindDir,WS_ms_Avg,PARTotin_Avg
TS,degC,%,mm,kPa,degrees,m/s,micromol/m2/s
01/01/2020 0.00,21.3892,99.61553,0,98.47438,190,0.217,-0.2228129
01/01/2020 0.30,21.22936,99.98984,0,98.47886,231,0.184,-0.1392612
01/01/2020 1.00,20.98448,99.99987,0,98.46534,NAN,0.379,-0.1392604
01/01/2020 1.30,20.80133,99.99996,0,98.4563,271,0.319,-0.1392603
01/01/2020 2.00,20.74675,99.99987,0,98.43108,94,0.125,-0.3342305
01/01/2020 2.30,20.61568,99.99999,0,98.40331,118,0.227,-0.1949688
01/01/2020 3.00,20.37063,99.99983,0,100.3692,253,0.189,-0.224707
01/01/2020 3.30,20.22231,99.99988,0,98.37678,185,0.118,-0.1671189
01/01/2020 4.00,20.0469,99.99985,0,98.36358,96,0.162,-0.1114118
01/01/2020 4.30,19.95896,100,0,98.35486,143,0.191,-0.3620933
01/01/2020 5.00,19.87084,100,0,98.34924,169,0.195,-0.2506815
01/01/2020 5.30,19.78611,100,0,98.35722,58,0.206,-0.02785385
01/01/2020 6.00,19.68212,99.99997,0,98.36955,225,0.163,-0.222828
01/01/2020 6.30,19.62994,100,0,98.39784,92,0.381,-0.08355994
01/01/2020 7.00,19.54213,99.99976,0,98.42634,160,0.154,19.33036
01/01/2020 7.30,19.51173,100,0,98.45522,NAN,0.251,90.6912
01/01/2020 8.00,20.08118,100,0,98.48458,271,0.22,252.3454
01/01/2020 8.30,20.91202,100,0,94.18434,332,0.311,471.6488
01/01/2020 9.00,21.96259,99.94685,0,93.45865,175,0.471,770.2999
01/01/2020 9.30,24.58865,86.73266,0,98.52882,29,1.33,991.8938
01/01/2020 10.00,26.18625,72.9445,0,98.54765,26,2.476,1134.513
01/01/2020 10.30,27.07001,70.82189,0,98.54977,75,1.371,1314.772
01/01/2020 11.00,27.20047,71.25731,0,98.54031,158,1.757,1124.923
01/01/2020 11.30,27.07538,72.4446,0,98.51704,47,1.441,1205.103
01/01/2020 12.00,27.36303,71.98901,0,98.4926,72,1.904,1275.685
01/01/2020 12.30,27.83868,67.54562,0,98.45829,108,1.993,1386.645
01/01/2020 13.00,28.41913,65.77204,0,98.41811,56,1.43,1215.3
01/01/2020 13.30,28.54994,64.8716,0,98.5814,45,1.868,1196.51
01/01/2020 14.00,28.8819,64.72716,0,98.35128,75,1.31,1343.67
01/01/2020 14.30,29.0905,64.09708,0,98.30132,67,1.415,1219.096
01/01/2020 15.00,29.12746,61.27519,0,98.27079,193,1.297,1148.418
01/01/2020 15.30,28.79339,63.50265,0,98.24299,75,1.293,821.489
01/01/2020 16.00,28.81054,61.49577,0,98.68891,84,1.792,945.0761
01/01/2020 16.30,28.79593,61.30003,0,98.22106,89,1.267,670.2856
01/01/2020 17.00,28.49475,61.49743,0,98.2207,41,1.079,504.6559
01/01/2020 17.30,27.78293,64.52148,0,98.2347,116,0.616,271.2933
01/01/2020 18.00,27.1618,67.62143,0,98.24879,214,0.296,177.9002
01/01/2020 18.30,26.28558,71.65676,0,98.26838,32,0.26,59.63634
01/01/2020 19.00,25.31969,76.27621,0,98.29899,135,0.309,1.47564
01/01/2020 19.30,24.68995,80.02383,0,98.3209,243,0.195,-0.1113809
01/01/2020 20.00,23.97993,83.93407,0,99.79405,60,0.175,-0.3096436
01/01/2020 20.30,23.74592,85.0416,0,98.40198,354,0.197,-0.4177684
01/01/2020 21.00,22.80459,90.33146,0,98.42006,101,0.165,-0.1949472
01/01/2020 21.30,22.79289,89.61108,0,98.44131,260,0.206,-0.278506
01/01/2020 22.00,22.82167,89.35939,0,98.45907,291,0.157,-0.1949573
01/01/2020 22.30,21.75582,95.60933,0,98.4813,68,0.148,-0.2785177
01/01/2020 23.00,21.36269,98.29028,0,98.48796,269,0.274,-0.08355675
01/01/2020 23.30,21.10596,99.87014,0,98.4919,240,0.297,-0.1114105
02/01/2020 0.00,20.96399,99.62376,0,98.48295,NAN,0.127,-0.1114115
02/01/2020 0.30,20.64486,99.82959,0,98.47939,256,0.345,-0.05570726
02/01/2020 1.00,20.42774,100,0,98.46727,NAN,0.462,-0.1949766
02/01/2020 1.30,20.35452,99.99952,0,98.43104,231,0.303,-0.1392679
02/01/2020 2.00,20.15545,99.99991,0,98.4052,275,0.256,-0.2506893
02/01/2020 2.30,19.94694,99.99999,0,98.36606,80,0.203,-0.3342526
02/01/2020 3.00,19.78498,99.99989,0,98.33895,236,0.451,-0.1671276
02/01/2020 3.30,19.63797,100,0,98.33237,274,0.363,-0.08356358
02/01/2020 4.00,19.52221,99.99992,0,98.44012,288,0.245,-0.1128254
02/01/2020 4.30,19.38933,99.99979,0.202,98.32754,NAN,0.24,-0.1114581
02/01/2020 5.00,19.21747,99.99981,0,85.91894,NAN,0.244,-0.1951153
02/01/2020 5.30,19.11227,100,0,93.39111,162,0.299,-0.3346863
02/01/2020 6.00,19.073,100,0,98.33249,159,0.296,-0.3621226
02/01/2020 6.30,19.03401,99.99987,0,98.36641,303,0.223,-0.05571125
02/01/2020 7.00,19.00053,99.99979,0,98.3914,176,0.114,21.19776
02/01/2020 7.30,19.18564,99.99996,0,98.40458,167,0.167,122.9249
02/01/2020 8.00,19.42093,100,0,98.44081,196,0.291,267.6465
02/01/2020 8.30,20.28955,100,0,98.47596,237,0.349,466.3976
02/01/2020 9.00,21.30202,100,0,98.5079,127,0.443,752.739
02/01/2020 9.30,22.87133,97.50151,0,98.52491,114,0.625,907.0544
02/01/2020 10.00,24.1342,90.42451,0,108.7418,172,0.963,727.4726
