PoolID,TreeID,Type,Long,Lat,Date,Week,pH,DO,Depth,Length,Height,Width,Water_Sample_Num,Field_Volume,Cabe_Volume,Dt_Tadpole_Num,New_Tads,Consp_Tad_Num,Predators_Y_N,Metamorphs
1,A,Palm,4.04657,52.67646,30/1,1,6.2,1.9,10,110,0,16,3,NA,NA,15,15,0,Y,2
1,A,Palm,4.04657,52.67646,6/2,2,6.09,NA,10,110,0,16,94,4,20,2,0,0,Y,0
1,A,Palm,4.04657,52.67646,13/2,3,6.38,NA,10,110,0,16,163,,,0,0,0,N,0
1,A,Palm,4.04657,52.67646,20/2,4,5.19,NA,10,110,0,16,163,,,0,0,0,N,0
1,A,Palm,4.04657,52.67646,26/2,5,5.95,NA,10,110,0,16,265,8,24,14,0,0,Y,0
1,B,Fallen_Tree,4.04561,52.6782,30/1,1,3.96,2.48,11,9.5,86,14,16,NA,NA,1,1,0,N,0
1,B,Fallen_Tree,4.04561,52.6782,6/2,2,3.73,NA,11,9.5,86,14,98,3,13,3,3,0,N,0
1,B,Fallen_Tree,4.04561,52.6782,13/2,3,4.09,NA,11,9.5,86,14,167,,,2,2,0,Y,0
1,B,Fallen_Tree,4.04561,52.6782,20/2,4,2.96,NA,11,9.5,86,14,230,,,1,0,0,N,0
1,B,Fallen_Tree,4.04561,52.6782,26/2,5,3.7,NA,11,9.5,86,14,266,6,22,1,0,0,N,0
1,C,Waka_Pool,4.04789,52.67492,31/1,1,4.49,1.17,12,4,46,8,21,5,22,0,0,0,N,0
1,C,Waka_Pool,4.04789,52.67492,6/2,2,3.17,0.72,12,4,46,8,99,1,11,0,0,0,N,0
1,C,Waka_Pool,4.04789,52.67492,13/2,3,3.01,0.72,12,4,46,8,168,,,0,0,0,N,0
1,C,Waka_Pool,4.04789,52.67492,20/2,4,2.67,NA,12,4,46,8,232,,,0,0,0,N,0
1,C,Waka_Pool,4.04789,52.67492,26/2,5,2.74,NA,12,4,46,8,267,6,14,0,0,0,N,0
1,D,Palm,4.04769,52.67462,31/1,1,6.98,4.42,4,34,0,4,23,5,8,1,0,0,N,0
1,D,Palm,4.04769,52.67462,6/2,2,NA,NA,4,34,0,4,NA,NA,NA,1,0,0,N,0
1,D,Palm,4.04769,52.67462,13/2,3,6.87,NA,4,34,0,4,170,6,NA,0,0,0,N,0
1,D,Palm,4.04769,52.67462,20/2,4,NA,NA,4,34,0,4,234,NA,NA,0,0,0,N,0
1,D,Palm,4.04769,52.67462,26/2,5,6.28,NA,4,34,0,4,268,2,NA,0,0,0,N,0
1,E,Waka_Pool,4.04773,52.67382,31/1,1,2.91,2.81,6.5,6,91,12,27,5,14,0,0,8,N,0
1,E,Waka_Pool,4.04773,52.67382,6/2,2,NA,NA,6.5,6,91,12,NA,NA,NA,0,0,0,N,0
1,E,Waka_Pool,4.04773,52.67382,13/2,3,3.02,NA,6.5,6,91,12,171,,,0,0,5,N,0
1,E,Waka_Pool,4.04773,52.67382,20/2,4,2.51,NA,6.5,6,91,12,235,,,0,0,5,N,0
1,E,Waka_Pool,4.04773,52.67382,26/2,5,2.86,NA,6.5,6,91,12,269,4,10,0,0,5,N,0
2,E,Waka_Pool,4.04773,52.67382,31/1,1,4.23,1.52,10,8,66,5,28,3,21,0,0,0,N,0
2,E,Waka_Pool,4.04773,52.67382,6/2,2,4.55,0.56,10,8,66,5,101,4,6,0,0,0,N,0
2,E,Waka_Pool,4.04773,52.67382,13/2,3,4.73,NA,10,8,66,5,172,,,0,0,0,N,0
2,E,Waka_Pool,4.04773,52.67382,20/2,4,3.71,NA,10,8,66,5,236,,,0,0,0,Y,0
2,E,Waka_Pool,4.04773,52.67382,26/2,5,3.73,NA,10,8,66,5,270,4,14,0,0,0,Y,0
1,F,Palm,4.04737,52.67431,31/1,1,5.91,1.82,3,168,0,15,29,7,25,2,0,0,N,0
1,F,Palm,4.04737,52.67431,6/2,2,5.5,NA,3,168,0,15,100,2,5,3,0,0,N,0
1,F,Palm,4.04737,52.67431,13/2,3,6.16,NA,3,168,0,15,173,,,3,0,5,N,0
1,F,Palm,4.04737,52.67431,20/2,4,4.9,NA,3,168,0,15,237,,,2,0,0,N,0
