tree,pool_id,date,pool_type,height,water_capacity,leaflit_vol_ml,pH_strip,KH,hardness,no3,salinity,invert_diversity,dens_invert_total,predator_count,predator_size_sum,amphib_diversity,tadpoles_other,tp_femo_hahneli,oophagus_tp,tadpoles_tinc,presence_by_size
frogpool_01,frogpool_01.1,Sat Feb 02 00:00:00 GFT 2019,dead,64.1,5400.4104,500,6.4,3,3,10,12,6,0.036419922,3,39,1,51,51,0,0,1
frogpool_01,frogpool_01.2,Sun Feb 03 00:00:00 GFT 2019,dead,64.1,394.6635,200,6.4,6,3,10,16,4,0.449134199,0,0,1,1,1,0,0,1
frogpool_01,frogpool_01.3,Mon Feb 04 00:00:00 GFT 2019,dead,55,6006.94864,1450,6.4,3,3,10,5,3,0.015478467,4,43,1,21,21,0,0,2
frogpool_01,frogpool_01.4,Mon Feb 04 00:00:00 GFT 2019,dead,51,230.9076,210,6.4,6,3,10,17,2,0.031176929,0,0,0,0,0,0,0,0
frogpool_01,frogpool_01.5,Mon Feb 04 00:00:00 GFT 2019,dead,47,1332.0384,200,6.4,3,3,10,19,6,0.062695925,1,10,1,4,4,0,0,1
frogpool_01,frogpool_01.6,Mon Feb 04 00:00:00 GFT 2019,dead,40.5,1119.66624,670,6.4,6,3,50,26,4,0.067709549,2,43,1,9,9,0,0,1
frogpool_02,frogpool_02.1,Tue Feb 05 00:00:00 GFT 2019,dead,84,19.635,0,7.6,15,4,0,830,1,0.222222222,0,0,1,0,0,0,2,1
frogpool_02,frogpool_02.2,Tue Feb 05 00:00:00 GFT 2019,dead,78,67.85856,0,7.6,15,7,10,729,1,0.02,0,0,1,0,0,0,2,3
frogpool_03,frogpool_03.1,Tue Feb 05 00:00:00 GFT 2019,alive,59,1431.2606,125,6.4,6,3,10,50,4,0.108278818,2,15,0,0,0,0,0,0
frogpool_04,frogpool_04.1,Tue Feb 05 00:00:00 GFT 2019,alive,0,173.10216,0,6.4,6,3,10,50,1,0.01,0,0,1,0,0,0,1,2
frogpool_05,frogpool_05.1,Tue Feb 05 00:00:00 GFT 2019,dead,43,16743.1572,1650,6.4,6,3,10,32,4,0.021851953,,22,1,13,13,0,0,1
frogpool_06,frogpool_06.1,Tue Feb 05 00:00:00 GFT 2019,dead,6.5,659.736,0,6.4,3,3,10,,1,0.055826936,0,0,3,0,0,0,1,1
frogpool_07,frogpool_07.1,Wed Feb 06 00:00:00 GFT 2019,alive,72,280.3878,0,6.4,6,3,10,55,4,0.034782609,0,0,1,0,0,0,1,1
frogpool_08,frogpool_08.1,Wed Feb 06 00:00:00 GFT 2019,alive,47,11240.2521,1200,6.4,6,3,10,33,4,0.010925977,10,149,2,0,0,0,1,3
frogpool_09,frogpool_09.1,Wed Feb 06 00:00:00 GFT 2019,alive,115,39.27,0,6.4,6,3,10,42,1,0.057142857,0,0,0,0,0,0,0,0
frogpool_10,frogpool_10.1,Wed Feb 06 00:00:00 GFT 2019,alive,129,5069.2334,25,7.6,15,4,10,101,2,0.001820996,0,0,3,0,0,0,40,2
frogpool_11,frogpool_11.1,Wed Feb 06 00:00:00 GFT 2019,alive,14,973.896,0,6.4,6,3,10,44,5,0.011018732,0,0,2,0,0,0,3,3
